t,n_vectors,mean_speed,median_speed,mean_abs_divergence,median_abs_divergence,mean_abs_curl,median_abs_curl,mean_gradient_magnitude,median_gradient_magnitude,mean_strain_magnitude,median_strain_magnitude,max_strain_magnitude,max_gradient_magnitude
0,162,7.155493156300351,6.485557032821586,0.042628711676047495,0.04020833333333333,0.029924862077318353,0.023385454940721143,0.05693625206124684,0.05124957228441479,0.05026025066338857,0.044585318410501965,0.18511949057332502,0.18625225552989888
1,177,5.537853590271028,5.408326913195984,0.02817610564619626,0.02208333333333333,0.025995742762296912,0.022809697560756882,0.042222147198866654,0.038904262834124834,0.03624602435561525,0.03164596868518023,0.15215033726411265,0.16130004593053354
2,179,3.2341289208026547,2.8,0.018110947676538442,0.015781333133812185,0.01924426062428446,0.015625,0.029498761924378575,0.02824434555013721,0.02458000902897869,0.02333891302334175,0.08453248620057036,0.09619411067940892
3,184,2.7262065818860934,2.650949025070158,0.017753364301326627,0.014873511904761903,0.016087082668753937,0.012106827445652172,0.027309599794055377,0.026597494411758245,0.02339656454308544,0.021828154663816258,0.0885914075968996,0.11334558757279536
4,174,2.651182245135368,2.333333333333333,0.017468262717129392,0.01376885775862069,0.016595026647698317,0.012534166324575807,0.027673027941347093,0.02473362964813764,0.023830053815104085,0.02149480982021125,0.06076698900821892,0.07556576326430534
5,168,2.5093668768643207,2.1598344115325,0.017590411381566515,0.014992559523809526,0.017175535940649408,0.013227838010204083,0.027929537344659205,0.02563486934331668,0.023689658890463323,0.0214401594993203,0.06646150489934197,0.07563389525279729
6,152,5.1190845715803555,4.027960293403118,0.025675545042361938,0.02227282072368421,0.027679563105612166,0.023612595942982453,0.042573631269600586,0.04083428087733679,0.03608984597232859,0.0359415924470967,0.08974214230552678,0.11282124594815511
7,141,7.795152679708695,7.340905181848413,0.03910895248354695,0.026288345716537206,0.04455352327499415,0.036534092508161656,0.06755148389396311,0.06194824975948007,0.05528167833016659,0.04682598192086682,0.27714989096018205,0.2800066466336358
8,167,6.502128200026194,5.676462121975468,0.031606203760144384,0.02770833333333333,0.029462950702529928,0.022500000000000003,0.0485738438484601,0.045392171337687734,0.04178085638513533,0.039333011139440814,0.11759898470052153,0.13104315711923983
9,174,5.571429927880886,5.044056253745625,0.028327052820401516,0.025553075396825393,0.024853909508710338,0.017803049740010943,0.0424630007771966,0.03850656650498722,0.03652580297698207,0.03387989326090531,0.13637630566756886,0.14546775457746575
10,185,2.611869963268273,2.42670329642684,0.015069020009391632,0.012151866151866154,0.017336024731295002,0.01197916666666667,0.026775938693431717,0.024059744132913886,0.022186056859496175,0.02012153435822797,0.1122242714807051,0.11233929493948232
11,182,2.535101638840242,2.33095435913919,0.018057513161822913,0.014409722222222223,0.01638884658452702,0.011979166666666662,0.02680346151148374,0.02577467244543496,0.02264411156322172,0.020915694288859716,0.08425990716090313,0.08426974408441931
12,175,2.6675076787139664,2.2627416997969525,0.018004043164885,0.015453373015873018,0.01875880628441853,0.013370039682539683,0.02861786183212382,0.024349344205276152,0.023927118348332683,0.020963918713243455,0.13765970838447975,0.1846102548087607
13,164,4.030813505237191,3.4270509831248424,0.0183520472079993,0.015885416666666666,0.022992770359432688,0.018072916666666668,0.03343623093065905,0.02926830074031352,0.02745574712684696,0.02458895808978295,0.110854650072325,0.15659743349714986
14,156,7.675852453211723,7.012883218842656,0.037292780271796694,0.03121549240689865,0.038091799850864354,0.03421826509717135,0.0582003185830609,0.05397830569646901,0.048558763635990425,0.04290885365467353,0.13192555210707882,0.19045929023360478
15,159,6.231406738374451,5.962847939999439,0.030237053377183316,0.024999999999999998,0.03297356836145847,0.028280423280423277,0.05112222030183178,0.04609653333865613,0.04269954060141279,0.040460806009231534,0.13493124086934669,0.15906035935529172
16,164,7.646062089448254,6.932688865099294,0.0352072942781366,0.030677083333333334,0.027578613912908514,0.022975865333430122,0.04959775621459746,0.04302485632275081,0.04327629091241359,0.03793933048874212,0.14754164461455313,0.1531158900591516
17,176,3.4643874142602957,3.296467267967329,0.014801229561749805,0.011946649812860751,0.01938945963925989,0.016494824077831892,0.027888578414605514,0.025161976344417095,0.02239497066896995,0.020224971835992568,0.0880932271327749,0.11674104771768251
18,162,3.767419032714346,3.4161221704230975,0.01927872912901634,0.014843750000000001,0.021124617032646013,0.01563425466637272,0.032798215395281695,0.030687328795364028,0.0271907665356311,0.024861320238203293,0.09155204231562146,0.10544222625486542
19,154,3.19230729547066,3.0465100845412674,0.019677938065722156,0.015625,0.019049789134219217,0.01412202380952381,0.03145451322351694,0.027503468477683674,0.026955324839182344,0.024750905185080246,0.08494327889810664,0.12677599314646748
20,138,6.1363862712112605,5.98666405339438,0.03463018520393875,0.031713843599033814,0.027459727504475846,0.023407953761214628,0.04847172313579403,0.04462346896503035,0.04265049282208134,0.040317073154563454,0.08962041989110703,0.10984729578128177
21,124,8.482889058577198,7.972856033003999,0.04297495942966156,0.039106722830261134,0.057118367833605854,0.047729574692780344,0.0822863972478283,0.06595185187250956,0.06757272200678323,0.05636613567412498,0.22246169009298605,0.2607679454878631
22,155,7.575284682319676,7.06320670013903,0.03857036145797202,0.03592247503840245,0.02800334442049452,0.019687500000000004,0.05613087579165217,0.05154191588006872,0.05029598208460716,0.045921107031382136,0.18462347898643758,0.18487162400193036
23,170,4.989279861657871,4.006932429798716,0.026680625411929473,0.022120273109243697,0.02671393557422969,0.018749999999999996,0.043459629077585736,0.03886881448460852,0.036666314770710653,0.03210818371161081,0.14549143329233627,0.14657034745633998
24,180,3.537037207006027,3.2712769016000136,0.018167868395429162,0.015104166666666665,0.02193187669936802,0.015199756117724868,0.03180354768458588,0.029109225388157904,0.0259492022316575,0.02422877708061745,0.10826803348142391,0.13968797069658695
25,165,4.674832769198752,4.27551166528639,0.024157823181308026,0.019270833333333334,0.02815471617327678,0.020268743987493985,0.042289230798562914,0.036121170351273324,0.03465439992360481,0.03062526573013966,0.14855040039647013,0.15036360904364546
26,154,4.81738805463412,4.440567370179275,0.02434225638307271,0.02097281810451453,0.023711792106895887,0.0183995245825603,0.03772357681706702,0.03451642198055571,0.031550184801697634,0.02860107519457973,0.10648319491223014,0.12900483794361858
27,164,3.2248107757149778,2.933692868601389,0.016992083760463583,0.0125,0.01729225655272396,0.012833823315911732,0.027332422796021195,0.023925722028947057,0.022965536661733208,0.020404403458318225,0.09340869355138455,0.11297445625400636
28,132,7.074487553329451,6.293660031511036,0.03774708396305224,0.02948041614057239,0.04482802795154831,0.03321772411616161,0.06712534345992877,0.06368285632416,0.05580016736909989,0.05445902588405806,0.15584745020171167,0.18897343517380663
29,107,9.864669548250356,10.268614533832908,0.04374586026436079,0.035416666666666666,0.05033009615104667,0.033216510903426796,0.07680662580078933,0.057820032213441966,0.0646909440596271,0.05148424890677056,0.25159318739672676,0.30613943582404846
